id;marque;matériaux;montant;style;couleur;solde;note;number_reviews;name;cat1;cat2
prod_0;Zenvida;Hévéa;152.72;Mid-Century Modern;Blanc,Bleu,Gris,Vert;True;4.5;100;Zenvida Mid Century Modern Accent Armchair Solid Hardwood  Upholstered;Meuble;Meuble_Salon
prod_1;;Tissu;229.64;Modern & Contemporary;Beige,Bleu,Crème,Gris,Naturel;True;4.4;44;Aston Modern Solid wood Accent Chair;Meuble;Meuble_Salon
prod_2;Kate and Laurel;Metal;68.04;Industriel,Modern & Contemporary,Traditionnel,Transitoire;Argent,Marron,Or;True;4.6;72;Kate and Laurel Sanzo Metal Side Table;Meuble;Meuble_Salon
prod_3;;Panneaux de Fibres à Densité Moyenne;234.82;Ferme,Nautical & Coastal;Blanc,Blanc Cassé,Gris,Marron,Rouge;True;4.4;284;Tall TV Stand;Meuble;Meuble_Salon
prod_4;Safavieh;Bois;476.99;Modern & Contemporary;Blanc,Marron,Noir,Or;True;4.2;129;"SAFAVIEH Piran 63-inch 4-Door Storage Media TV Stand - 63.1"" W x 16.3"" L x 31.7"" H";Meuble;Meuble_Salon
prod_5;Kate and Laurel;Metal,Verre;55.8;Bohemian & Eclectic,Modern & Contemporary;Argent,Bleu,Gris,Marron,Noir,Or,Vert;True;4.6;783;Kate and Laurel Celia Round Foldable Metal Accent Table;Meuble;Meuble_Salon
prod_6;The Gray Barn;Bois;124.17;Ferme;Blanc,Marron,Noir;True;4.4;877;The Gray Barn La Vida 5-tier Bookcase;Meuble;Meuble_Salon
prod_7;;Fer,Velours;838.21;Modern & Contemporary;Bleu,Gris,Ivoire,Jaune,Noir,Ocre,Orange,Rose,Rouge,Vert,Violet;True;4.4;42;Delicia 3 Piece Living Room Set with Golden Legs;Meuble;Meuble_Salon
prod_8;"Porch &amp; Den";Bois,Panneaux de Fibres à Densité Moyenne;50.52;Modern & Contemporary;Crème,Gris,Marron,Noir;True;4.1;594;"Porch &amp; Den Stuyvesant Open Shelves 3-tier Entertainment TV Stand";Meuble;Meuble_Salon
prod_9;;En cuir,Tissu;713.67;Modern & Contemporary;Marron;True;4.1;24;Leather Rivet Power Lift Recliner Chair with Massage and USB Port;Meuble;Meuble_Salon
prod_10;ART LEON;Bois,En faux cuir,Tissu;142.02;Mid-Century Modern,Modern & Contemporary;Blanc,Bleu,Gris,Jaune,Marron,Orange,Rose,Rouge,Vert;True;4.5;500;Art Leon Classical Swivel Office Accent Chair with Wood Legs;Meuble;Meuble_Salon
prod_11;Big Joe;Polyester;64.11;Transitoire;Bleu,Gris,Multi,Noir,Rouge,Vert,Violet;True;4.4;94;Big Joe Dorm Bean Bag Chair;Meuble;Meuble_Salon
prod_12;The Curated Nomad;Acajou;279.61;Bohemian & Eclectic;Marron;False;4.6;135;The Curated Nomad Baker Brown Woven Bench;Meuble;Meuble_Salon
prod_13;Safavieh;Pine,Tissu;206.03;Ferme;Noir;True;4.9;93;"Old Stone Distressed Black Storage Bench - 33.5"" x 16.1"" x 19.9""";Meuble;Meuble_Salon
prod_14;Safavieh;Bois;149.26;Transitoire;;True;4.5;196;"SAFAVIEH Samantha Dark Cherry 2-drawer Console Table - 35.8"" x 13.8"" x 29.5""";Meuble;Meuble_Salon
prod_15;;Panneaux de Fibres à Densité Moyenne,Stratifié;361.9;Mid-Century Modern,Scandinavian;Beige,Blanc,Gris,Marron;True;3.5;49;Living Skog Alba Beige TV Stand Console with Drawer Fits TV's up to 65 in. with Wood Legs Mid Century Modern Design;Meuble;Meuble_Salon
prod_16;Safavieh;Bois,Metal,Rotin;373.67;Modern & Contemporary;Blanc,Naturel,Noir;True;4.4;18;SAFAVIEH Zadie 2 Shelf Rattan Sideboard;Meuble;Meuble_Salon
prod_17;Christopher Knight Home;Metal;94.4;Modern & Contemporary;Noir,Or;True;4.7;83;Pleasants Modern Three Panel Fireplace screen by Christopher Knight Home - 1.25W x 41.00L x 29.75H;Meuble;Meuble_Salon
prod_18;;Bois;99.47;Childrens;Blanc;True;1.7;3;360-degree 4 Tier Revolving Book Shelf with Dolphin Cutout divider - 4Tier;Meuble;Meuble_Salon
prod_19;;Tissu;307.25;Modern & Contemporary;Beige;False;0.0;;"65"" Modern Loveseat Sofa with USB Charging Ports for Living Room";Meuble;Meuble_Salon
prod_20;Moser Bay;Hévéa,Toile de lin,Velours;338.27;Modern & Contemporary,Transitoire;Beige,Bleu,Gris,Jaune,Marron,Rose,Rouge,Vert,Violet;False;4.4;30;Moser Bay Mignon Velvet / Linen 30'' Wide Tufted Wingback Accent Chair;Meuble;Meuble_Salon
prod_21;;Velours;212.47;Modern & Contemporary;Bleu,Gris,Jaune,Noir,Orange,Rose,Rouge,Vert,Violet;False;4.5;20;Velvet Upholstered Tufted Accent Chair With Rose Golden feet;Meuble;Meuble_Salon
prod_22;;Velours;136.34;Modern & Contemporary;Beige,Bleu,Gris,Jaune,Noir,Vert;True;4.5;10;Velvet Upholstered Wingback Comfortable living Room Rocking Chair With Wood Base;Meuble;Meuble_Salon
prod_23;Middlebrook Designs;Panneaux de Fibres à Densité Moyenne,Stratifié;203.83;Détente,Transitoire;Gris,Marron,Ocre;False;4.5;260;Middlebrook Ogden 58-inch Corner TV Stand Console;Meuble;Meuble_Salon
prod_24;Christopher Knight Home;Coton,Laine,Tissu;62.36;Modern & Contemporary;Beige,Blanc,Ivoire,Naturel;True;4.7;35;Gerardo Boho Cube Wool and Cotton Pouf by Christopher Knight Home;Meuble;Meuble_Salon
prod_25;The Gray Barn;Bois,Panneaux de Fibres à Densité Moyenne;153.62;Rustique,Shabby Chic;Blanc,Naturel;False;4.5;152;The Gray Barn Dullahan Road Distressed White and Natural Wood Round Accent Side End Table with Storage;Meuble;Meuble_Salon
prod_26;;Metal,Panneaux de Fibres à Densité Moyenne;202.42;Ferme,Modern & Contemporary;Gris,Marron,Or;True;4.8;13;Console Table with Storage Shelf, 70.8 Inch Long Sofa Table Entry Table for Living Room Hallway;Meuble;Meuble_Salon
prod_27;Safavieh;Bois;170.8;Modern & Contemporary;Beige,Blanc,Gris,Marron,Noir;True;4.3;82;"SAFAVIEH Lucca Retro Dining Chair (Set of 2) - 17.3"" x 20.8"" x 33.1""";Meuble;Meuble_Salle_à_manger
prod_28;Simple Living;Bois;464.95;Modern & Contemporary;Noir;True;4.0;168;Simple Living Parson Black and Silver 5-Piece Dining Table and Chairs Set;Meuble;Meuble_Salle_à_manger
prod_29;Simple Living;Metal,Panneaux de Fibres à Densité Moyenne;275.64;Modern & Contemporary,Transitoire;Blanc,Bleu;False;4.6;29;Simple Living Emmeline Modern Sideboard;Meuble;Meuble_Salle_à_manger
prod_30;Modern Home;Chrome,En acier,En faux cuir;83.13;Modern & Contemporary;Blanc,Jaune,Noir,Rouge,Vert;True;4.5;39;Spyder Contemporary Adjustable Barstool;Meuble;Meuble_Salle_à_manger
prod_31;East West Furniture;Hévéa;196.94;Modern & Contemporary;Noir;True;4.4;34;East West Furniture Round Small Dining Table with Pedestal Base (Finish Options);Meuble;Meuble_Salle_à_manger
prod_32;Office Star Products;Hévéa;169.67;Transitoire;Bleu,Gris,Ivoire;True;4.0;29;"Granville 26"" Swivel Stool";Meuble;Meuble_Salle_à_manger
